query	no	token	pos
경주여행	1	추석	NNG
경주여행	1	추석	NNG
경주여행	1	어떻	VA
경주여행	1	생각	NNG
경주여행	1	나요	EF
경주여행	1	서울	NNP
경주여행	1	에서	JKB
경주여행	1	버스	NNG
경주여행	1	경우	NNG
경주여행	1	버스	NNG
경주여행	1	버스	NNG
경주여행	1	전용	NNG
경주여행	1	차선	NNG
경주여행	1	에서	JKB
경주여행	1	운행	NNG
경주여행	1	나요	EC
경주여행	1	질문	NNG
경주여행	1	추석	NNG
경주여행	1	관련	NNG
경주여행	1	답변	NNG
경주여행	1	드리	VV
경주여행	1	도록	EC
경주여행	1	습니다	EF
경주여행	1	첨성대	NNG
경주여행	1	석굴암	NNG
경주여행	1	불국사	NNG
경주여행	1	유적지	NNG
경주여행	1	연중무휴	NNG
경주여행	2	일정	NNG
경주여행	2	세요	EP+EF
경주여행	2	일정	NNG
경주여행	2	세요	EP+EC
경주여행	2	문자	NNG
경주여행	2	에서	JKB
경주여행	2	계획	NNG
경주여행	2	군요	EF
경주여행	2	특히	MAG
경주여행	2	소록	NNG
경주여행	2	스테이	NNG
경주여행	2	에서	NNG
경주여행	2	아래	NNG
경주여행	2	일정	NNG
경주여행	2	간략히	MAG
경주여행	2	정리	NNG
경주여행	2	드릴게요	VX+EC
경주여행	2	일정	NNG
경주여행	2	Day	SL
경주여행	2	감성	NNG
경주여행	2	가득	MAG
경주여행	2	탐방	MAG
경주여행	2	10	SN
경주여행	2	30	SN
경주여행	3	어머니	NNG
경주여행	3	이제	MAG
경주여행	3	어버이날	NNP
경주여행	3	위해	VV+EC
경주여행	3	어머니	NNG
경주여행	3	할려고	VV+EC
경주여행	3	합니다	VX+EF
경주여행	3	정했	VV+EP
경주여행	3	는데	EC
경주여행	3	펜션	NNG
경주여행	3	안녕	NNG
경주여행	3	세요	EP+EF
경주여행	3	어버이날	NNP
경주여행	3	어머니	NNG
경주여행	3	함께	MAG
경주여행	3	계획	NNG
경주여행	3	군요	EF
경주여행	3	특별	NNG
경주여행	3	시간	NNG
경주여행	3	보내	VV
경주여행	3	려는	ETM
경주여행	3	마음	NNG
경주여행	3	느껴져서	VV+EC+VX+EC
경주여행	3	더욱	MAG
경주여행	4	는데요	EC
경주여행	4	동궁	NNG
경주여행	4	월지	NNG
경주여행	4	정교	NNG
경주여행	4	야경	NNG
경주여행	4	은데	EC
경주여행	4	정상	NNG
경주여행	4	운영	NNG
경주여행	4	나요	EC
경주여행	4	휴무일	NNG
경주여행	4	따로	MAG
경주여행	4	어서	EC
경주여행	4	관람	NNG
경주여행	4	방해	NNG
경주여행	4	정도	NNG
경주여행	4	날씨	NNG
경주여행	4	나쁜	VA+ETM
경주여행	4	상황	NNG
경주여행	4	생겨서	VV+EC
경주여행	4	통제	NNG
경주여행	4	경우	NNG
경주여행	4	아니	VCN
경주여행	4	라면	EC
경주여행	4	관람	NNG
경주여행	4	가능	NNG
경주여행	4	습니다	EF
경주여행	5	30	SN
경주여행	5	남자	NNG
경주여행	5	친구	NNG
경주여행	5	는데	EC
경주여행	5	숙소	NNG
경주여행	5	ktx	SL
경주여행	5	개인	NNG
경주여행	5	으로	JKB
경주여행	5	30	SN
경주여행	5	부족	NNG
경주여행	5	할까요	XSV+EC
경주여행	5	30	SN
경주여행	5	으로	JKB
경주여행	5	계획	NNG
경주여행	5	계신다면	VX+EC
경주여행	5	예산	NNG
경주여행	5	어떻게	MAG
경주여행	5	집행	NNG
경주여행	5	느냐	EC
경주여행	5	따라	VV+EC
경주여행	5	충분	XR
경주여행	5	부족	NNG
경주여행	5	습니다	EF
경주여행	6	맛집	NNG
경주여행	6	은데	EC
경주여행	6	맛집	NNG
경주여행	6	추천	NNG
경주여행	6	부탁	NNG
경주여행	6	려뇨	EC
경주여행	6	가이드	NNG
경주여행	6	교통편	NNG
경주여행	6	맛집	NNG
경주여행	6	볼거리	NNG
경주여행	6	까지	JX
경주여행	6	모두	MAG
경주여행	6	알려	VV+EC
경주여행	6	한국	NNP
경주여행	6	역사	NNG
경주여행	6	문화	NNG
경주여행	6	도시	NNG
경주여행	6	명소	NNG
경주여행	6	아요	EC
경주여행	6	2025	SN
경주여행	6	떠나	VV
경주여행	7	추천	NNG
경주여행	7	추천	NNG
경주여행	7	세요	EP+EF
경주여행	7	추천	NNG
경주여행	7	입니다	VCP+EF
경주여행	7	월드	NNG
경주여행	7	국립	NNG
경주여행	7	박물관	NNG
경주여행	7	황리	NNG
경주여행	7	첨성대	NNG
경주여행	7	불국사	NNP
경주여행	7	엑스포	NNG
경주여행	7	공원	NNG
경주여행	7	등등	NNB
경주여행	7	입니다	VCP+EC
경주여행	8	날씨	NNG
경주여행	8	는데	EC
경주여행	8	현재	MAG
경주여행	8	날씨	NNG
경주여행	8	어떤	MM
경주여행	8	가요	NNG
경주여행	8	쌓였	VV+EP
경주여행	8	나요	EF
경주여행	8	시외버스	NNG
경주여행	8	는데	EC
경주여행	8	빙판길	NNG
경주여행	8	일까봐	VCP+EC+VX+EC
경주여행	8	불안	NNG
경주여행	8	해요	XSA+EF
경주여행	8	그렇게	MAG
경주여행	8	많이	MAG
경주여행	8	날씨	NNG
경주여행	8	많이	MAG
경주여행	8	아요	EF
경주여행	8	주말	NNG
경주여행	8	다고	EC
경주여행	8	해도	VV+EC
경주여행	8	그때	NNG
경주여행	8	예보	NNG
경주여행	9	놓치	VV
경주여행	9	아야	EC
경주여행	9	맛집	NNG
경주여행	9	카페	NNG
경주여행	9	알려	VV+EC
경주여행	9	세요	EP+EF
경주여행	9	계획	NNG
경주여행	9	맛집	NNG
경주여행	9	카페	NNG
경주여행	9	에서	JKB
경주여행	9	특별	NNG
경주여행	9	경험	NNG
경주여행	9	습니다	EF
경주여행	9	독특	XR
경주여행	9	메뉴	NNG
경주여행	9	특별	NNG
경주여행	9	제공	NNG
경주여행	9	혹은	MAJ
경주여행	9	전통	NNG
경주여행	9	분위기	NNG
경주여행	9	현대	NNG
경주여행	9	요소	NNG
경주여행	9	조화	NNG
경주여행	9	이루	VV
경주여행	9	장소	NNG
경주여행	9	대해	VV+EC
경주여행	9	습니다	EF
경주여행	9	황남빵	NNP
경주여행	10	일정	NNG
경주여행	10	어떻게	MAG
경주여행	10	할지	VX+EC
경주여행	10	고민	NNG
경주여행	10	입니다	VCP+EF
경주여행	10	아빠	NNG
경주여행	10	엄마	NNG
경주여행	10	아들	NNG
경주여행	10	ktx	SL
경주여행	10	역하	NNG
경주여행	10	11	SN
경주여행	10	숙소	NNG
경주여행	10	황리	NNG
경주여행	10	황남	NNG
경주여행	10	고택	NNG
경주여행	10	드린	VV+ETM
경주여행	10	답변	NNG
경주여행	10	도움	NNG
경주여행	10	바래요	VV+EF
경주여행	10	말씀	NNG
경주여행	10	질문	NNG
경주여행	10	아빠	NNG
경주여행	10	엄마	NNG
경주여행	10	아들	NNG
경주여행	10	ktx	SL
경주여행	11	아래	NNG
경주여행	11	참조	NNG
경주여행	11	도움	NNG
경주여행	11	에요	VCP+EF
경주여행	11	https	SL
경주여행	11	valina	SL
경주여행	11	8342	SN
경주여행	11	tistory	SL
경주여행	11	com	SL
경주여행	11	entry	SL
경주여행	11	EC	SL
경주여행	11	EB	SL
